Ref,Val,Package,PosX,PosY,Rot,Side
"C701","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",105.7500,36.6000,0.0000,top
"C702","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.2500,55.5000,0.0000,top
"C703","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.2500,89.5000,0.0000,top
"C704","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.2500,21.5000,0.0000,top
"C705","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.8500,62.7750,-90.0000,top
"C706","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.4500,62.1750,-90.0000,top
"C707","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.6810,76.0740,0.0000,top
"C708","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.6810,72.7720,0.0000,top
"C709","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",41.1100,74.5000,0.0000,top
"C711","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",53.6080,61.5750,0.0000,top
"C712","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",57.2080,64.7750,-90.0000,top
"C713","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.2000,103.6900,180.0000,top
"D701","LED","LED_D3.0mm",62.5435,17.1030,-90.0000,top
"D702","LED","LED_PLCC-2_3x2mm_KA",66.3535,15.8330,-90.0000,top
"J701","ZHOURI DC3","IDC-Header_2x05_P2.54mm_Horizontal",35.4475,34.8560,180.0000,top
"J702","1050171001 Micro Type B","USB_Micro-B_Molex-105017-0001",12.7500,95.7320,-90.0000,top
"J703","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",63.7090,75.0000,90.0000,top
"J704","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",50.9320,22.4100,-90.0000,top
"J705","Conn_01x14_Pin","PinSocket_1x14_P2.54mm_Vertical",63.6320,100.6420,-90.0000,top
"J706","Header","PinHeader_1x02_P2.54mm_Vertical",51.4400,15.2980,90.0000,top
"J707","HX JN1.27-2x5 WZ H4.9","JN1.27-2x5 WZ H4.9",18.1660,78.3235,180.0000,top
"J708","HX JN1.27-2x5 WZ H4.9","JN1.27-2x5 WZ H4.9",18.1660,59.2735,180.0000,top
"JP701","0R","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",32.1360,27.7440,180.0000,top
"JP702","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",105.7500,38.1000,0.0000,top
"JP703","8.12","Jumper_mm_L8.12_D1.2_H0.5",45.5910,79.4980,0.0000,top
"JP704","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",19.4999,95.3510,0.0000,top
