Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
23,0.30mm (11.81mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Via
11,0.50mm (19.69mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,0.60mm (23.62mils),PTH,Slot,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
12,0.70mm (27.56mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
20,0.74mm (29.13mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,0.85mm (33.46mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
2,0.90mm (35.43mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
49,1.00mm (39.37mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
6,1.50mm (59.06mils),PTH,Slot,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
Total 127,,,,,
